"url","Ulica","Povrsina","Vrsta","Korisnik","Nacin koristenja","Djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRIŽANIĆEVA%200011","KRIŽANIĆEVA 0011","29,80","stan","VANIŠTA JOSIP","ugovor o privremenom korištenju","prostor se koristi za potrebe ateljea"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRIŽANIĆEVA%200011/A","KRIŽANIĆEVA 0011/A","60,03","poslovni prostor","RAKOCI DUBRAVKA","ugovor o privremenom korištenju","potrebe ateljea"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRLEŽIN%20GVOZD%200017","KRLEŽIN GVOZD 0017","21,00","garaža","IVANA REŠETNIK","ugovor o zakupu","smještaj automobila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRLEŽIN%20GVOZD%200017","KRLEŽIN GVOZD 0017","21,00","garaža","JAŽIĆ ANTE","ugovor o zakupu","smještaj osobnog vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRLEŽIN%20GVOZD%200017","KRLEŽIN GVOZD 0017","21,30","garaža","MARIJAN HANŽEKOVIĆ","sudski i ostali postupci u tijeku-Grad nije u posjedu",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRŠNJAVOGA%200025","KRŠNJAVOGA 0025","260,00","poslovni prostor","SVEUČILIŠTE U ZAGREBU, PREHRAMBENO-BIOTEHNOLOŠKI FAKULTET","ugovor o zakupu","znanstvena djelatnost - laboratorij"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KSAVERA%20ŠANDORA%20GJALSKOG%200031","KSAVERA ŠANDORA GJALSKOG 0031","227,00","poslovni prostor","KONZUM D.D.","ugovor o zakupu","trgovačka djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KUČERINA%200050","KUČERINA 0050","20,16","poslovni prostor","ČALETA I SINOVI j.d.o.o.","ugovor o zakupu","uredski prostor za vođenje poslovanja poduzeća i zaprimanje stranaka"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KUMIČIĆEVA%200005","KUMIČIĆEVA 0005","746,43","poslovni prostor","DOM ZDRAVLJA ZAGREB-CENTAR","upravljanje i korištenje","obavljanje zdravstvene djelatnosti"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KUMIČIĆEVA%200005","KUMIČIĆEVA 0005","702,25","poslovni prostor","CENTAR ZA SOCIJALNU SKRB ZAGREB","u korištenju ustanove u vlasništvu Republike Hrvatske",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KURELČEVA%200004","KURELČEVA 0004","146,73","poslovni prostor","INSIGNUM d.o.o.","ugovor o zakupu","servis i reparacija LED i LCD opreme"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KURELČEVA%200004","KURELČEVA 0004","102,15","poslovni prostor","GRIČ D.O.O. / ELEKTROTEHNIKA NAPON d.o.o.","sudski i ostali postupci u tijeku-Grad nije u posjedu",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KUŠLANOVA%200047","KUŠLANOVA 0047","16,00","poslovni prostor","SRETAN MIŠA d.o.o.","ugovor o zakupu","savjetovanje u vezi s poslovanjem i upravljanjem, promidžba, te organiziranje sevinara, savjetovanja, stručnih skupova, izložbi, kongresa, koncerata"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KVINTIČKA%200055","KVINTIČKA 0055","36,16","garaža","PENTA d.o.o.","ugovor o zakupu","smještaj automobila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠABANA%200006","LADISLAVA ŠABANA 0006","94,70","poslovni prostor","VINOGRADARSKO-VINARSKA UDRUGA ""ZAGREBAČKO VINOGORJE""","ugovor o privremenom korištenju","za potrebe rada udruge"
