"Šifra","Naziv županije","Naziv JLS-a","2012.","2013.","2014.","2015.","2016.","2017.","2018.","2019.","""-"" označava da nema transakcija","","",""
"957","Šibensko-kninska","DRNIŠ","z","z","z","z","z","z","5,270.2","4,973.49","","","",""
"965","Koprivničko-križevačka","DRNJE","-","-","-","-","-","-","z","z","","","",""
"973","Zagrebačka","DUBRAVA","-","-","-","z","z","-","-","z","","","",""
"5495","Zagrebačka","DUBRAVICA","-","-","-","-","z","-","-",".","","","",""
"5983","Dubrovačko-neretvanska","DUBROVAČKO PRIMORJE","z","-","z","z","-","z","z","z","","","",""
"981","Dubrovačko-neretvanska","DUBROVNIK","16,810.78 ","15,151.55 ","16,070.45 ","15,193.92 ","14,652.06 ","15,385.8","16,890.9","18,037.62","","","",""
"990","Karlovačka","DUGA RESA","4,681.67 ","4,919.52 ","5,124.96 ","4,549.42 ","4,150.76 ","3,529.4","3,847.9","3,959.37","","","",""
"1007","Splitsko-dalmatinska","DUGI RAT","7,372.24 ","z","z","8,499.50 ","7,513.97 ","9,639.9","11,710.6","9,144.73","","","",""
"1015","Zagrebačka","DUGO SELO","7,016.95 ","6,462.40 ","6,128.84 ","5,925.41 ","5,798.86 ","6,535.2","6,404.1","7,040.47","","","",""
"5851","Splitsko-dalmatinska","DUGOPOLJE","-","z","z","z","z","z","6,408.2","7,886.14","","","",""
"1058","Bjelovarsko-bilogorska","ĐULOVAC","-","-","z","-","-","-","z",".","","","",""
"1066","Osječko-baranjska","ĐURĐENOVAC","z","z","z","z","1,027.78 ","z","1,794.4","2,837.28","","","",""
"1074","Koprivničko-križevačka","ĐURĐEVAC","z","5,765.84 ","z","4,171.45 ","z","3,874.0","3,501.0","231.75","","","",""
"1082","Krapinsko-zagorska","ĐURMANEC","-","z","-","-","-","-","-","z","","","",""
"1023","Sisačko-moslavačka","DVOR","-","-","-","-","-","-","z","z","","","",""
"1104","Osječko-baranjska","ERDUT","-","-","-","-","-","-","-",".","","","",""
"1112","Osječko-baranjska","ERNESTINOVO","-","-","-","-","-","-","-",".","","","",""
"1139","Šibensko-kninska","ERVENIK","-","-","-","-","-","-","-",".","","","",""
