"Šifra","Naziv županije","Naziv JLS-a","2012.","2013.","2014.","2015.","2016.","2017.","2018.","2019.","""-"" označava da nema transakcija","","",""
"4901","Koprivničko-križevačka","VIRJE","z","z","-","-","z","z","42.6","9.52","","","",""
"4910","Virovitičko-podravska","VIROVITICA","6,142.53 ","5,620.71 ","5,702.36 ","5,455.36 ","4,814.87 ","5,471.1","4,702.9","5,399.23","","","",""
"4928","Splitsko-dalmatinska","VIS","z","z","z","z","3,393.00 ","z","8,697.8","z","","","",""
"4944","Osječko-baranjska","VIŠKOVCI","-","-","-","-","-","-","-",".","","","",""
"4952","Primorsko-goranska","VIŠKOVO","8,104.83 ","8,108.89 ","7,503.23 ","6,208.26 ","7,365.73 ","7,252.3","7,502.7","7,784.55","","","",""
"4979","Istarska","VIŠNJAN - VISIGNANO","z","z","-","z","z","z","z","z","","","",""
"4936","Varaždinska","VISOKO","-","-","-","-","-","-","-","z","","","",""
"4987","Istarska","VIŽINADA - VISINADA","-","-","-","-","-","-","z",".","","","",""
"5797","Osječko-baranjska","VLADISLAVCI","-","z","-","z","z","-","-",".","","","",""
"4995","Virovitičko-podravska","VOĆIN","z","z","-","z","-","-","-","z","","","",""
"5002","Šibensko-kninska","VODICE","9,338.48 ","9,458.89 ","8,275.41 ","8,395.51 ","8,583.58 ","8,657.2","8,634.4","8,825.60","","","",""
"5843","Vukovarsko-srijemska","VOĐINCI","z","-","-","z","-","-","-",".","","","",""
"5029","Istarska","VODNJAN - DIGNANO","7,485.57 ","7,179.20 ","6,778.29 ","7,307.37 ","7,159.10 ","7,459.4","7,438.9","7,479.00","","","",""
"5037","Karlovačka","VOJNIĆ","z","-","-","-","-","-","z","z","","","",""
"5045","Međimurska","VRATIŠINEC","-","-","-","-","-","-","-",".","","","",""
"5053","Vukovarsko-srijemska","VRBANJA","z","-","-","z","-","-","z","z","","","",""
"5061","Brodsko-posavska","VRBJE","-","-","-","-","-","-","-",".","","","",""
"5070","Primorsko-goranska","VRBNIK","z","z","z","z","z","-","z","z","","","",""
"5088","Zagrebačka","VRBOVEC","7,432.78 ","6,045.53 ","0.02 ","5,277.54 ","4,410.25 ","6,341.7","z","7,367.42","","","",""
"5096","Primorsko-goranska","VRBOVSKO","z","z","z","z","z","z","2,587.1","415.71","","","",""
"5118","Splitsko-dalmatinska","VRGORAC","z","z","z","z","z","z","z","z","","","",""
"5126","Ličko-senjska","VRHOVINE","-","z","-","-","z","-","-","z","","","",""
"5134","Splitsko-dalmatinska","VRLIKA","-","z","-","-","z","-","z",".","","","",""
"5142","Brodsko-posavska","VRPOLJE","-","-","z","-","-","-","-",".","","","",""
"5169","Istarska","VRSAR - ORSERA","9,298.81 ","9,668.26 ","11,877.66 ","z","8,663.50 ","9,226.6","13,398.0","11,392.55","","","",""
"6254","Zadarska","VRSI","8,515.52 ","8,910.39 ","7,267.60 ","z","8,559.70 ","6,827.0","7,498.8","8,141.49","","","",""
"5177","Osječko-baranjska","VUKA","-","-","-","-","-","-","-",".","","","",""
"5185","Vukovarsko-srijemska","VUKOVAR","2,625.00 ","2,635.31 ","2,635.31 ","2,635.30 ","2,635.31 ","2,635.3","2,635.3","2,635.31","","","",""
"5193","Krapinsko-zagorska","ZABOK","7,058.94 ","5,665.57 ","7,091.53 ","6,208.78 ","4,637.48 ","5,644.1","5,620.5","6,516.17","","","",""
"5207","Zadarska","ZADAR","9,833.13 ","9,659.91 ","9,747.37 ","9,633.24 ","9,464.11 ","9,912.4","10,136.6","11,403.83","","","",""
"5959","Splitsko-dalmatinska","ZADVARJE","-","-","-","-","-","-","z",".","","","",""
"5215","Krapinsko-zagorska","ZAGORSKA SELA","-","-","-","-","-","-","-",".","","","",""
"5223","Splitsko-dalmatinska","ZAGVOZD","-","-","-","-","z","-","-",".","","","",""
"5304","Karlovačka","ŽAKANJE","-","-","-","-","-","-","-","z","","","",""
"5436","Zagrebačka","ZAPREŠIĆ","7,531.27 ","7,557.33 ","7,221.66 ","6,753.19 ","6,779.61 ","7,113.0","7,431.7","7,810.07","","","",""
"5231","Dubrovačko-neretvanska","ZAŽABLJE","-","-","-","-","-","-","-",".","","","",""
"5240","Virovitičko-podravska","ZDENCI","-","-","-","-","z","-","-",".","","","",""
"5258","Zadarska","ZEMUNIK DONJI","-","-","-","-","-","-","-","z","","","",""
"5266","Krapinsko-zagorska","ZLATAR","z","z","z","z","z","z","z","4,882.82","","","",""
"5274","Krapinsko-zagorska","ZLATAR BISTRICA","z","z","z","-","z","-","z","z","","","",""
"5282","Splitsko-dalmatinska","ZMIJAVCI","-","-","-","-","-","-","-",".","","","",""
"5312","Istarska","ŽMINJ","z","z","-","z","-","-","z","z","","","",""
"5665","Bjelovarsko-bilogorska","ZRINSKI TOPOLOVAC","-","-","-","-","-","-","-",".","","","",""
"5401","Zagrebačka","ŽUMBERAK","-","-","-","-","-","-","-",".","","","",""
"6025","Dubrovačko-neretvanska","ŽUPA DUBROVAČKA","11,638.70 ","12,346.08 ","12,626.77 ","11,275.87 ","10,016.53 ","11,509.1","12,033.3","13,199.77","","","",""
"5347","Vukovarsko-srijemska","ŽUPANJA","5,289.60 ","4,960.23 ","5,204.20 ","4,165.71 ","4,572.72 ","4,228.1","4,602.3","3,660.23","","","",""
